0 0 21 10 19 0 0 0 24 24 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 24 24 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 24 24 0 0 0 21 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 24 24 0 0 0 0 0 0 0 0 0 0 
18 0 0 14 10 13 0 0 24 24 0 0 0 0 0 0 0 7 0 0 
10 0 0 0 0 0 0 0 24 24 0 0 0 0 9 9 0 0 0 0 
15 0 0 0 0 0 0 0 24 24 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 24 24 0 16 10 15 0 0 24 24 24 24 
0 0 0 0 0 0 0 0 24 24 0 0 0 0 0 0 24 0 0 0 
0 0 0 0 0 0 0 0 24 24 0 0 0 0 0 0 24 0 0 0 
0 0 0 0 0 0 0 0 24 24 0 0 0 0 0 0 24 0 0 12
320
320
