18 10 17 7 0 0 0 0 0 7 0 0 7 24 24 24 0 0 0 8 
21 10 19 7 0 0 0 0 0 0 0 0 7 24 24 24 0 0 0 0 
24 24 24 7 0 14 10 13 0 7 0 0 7 24 24 24 0 0 0 0 
0 0 0 7 7 0 0 0 7 7 7 7 7 24 24 24 0 0 0 0 
0 0 0 7 0 0 0 0 0 9 0 0 0 24 24 24 0 0 11 0 
0 0 0 7 7 7 7 7 7 7 0 0 0 24 24 24 0 0 10 0 
0 0 0 7 16 7 0 0 0 0 0 0 0 0 24 24 0 0 12 0 
0 0 0 0 10 0 0 0 0 0 0 0 0 0 24 24 0 0 0 0 
0 0 0 0 15 0 0 21 0 0 0 0 0 0 24 24 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 24 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 24 24 0 0 0 0
704
64
